ID,Name,Species,Variant,Generation,Rarity,Evolves_from,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,image_url,VGC2022_rules,Monthly Usage (k),Usage Percent (%),Monthly Rank
440,Happiny,Happiny,NULL,4,Baby,NULL,Normal,NULL,220,100,5,5,15,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/happiny.png,Permitted,0,0,0
446,Munchlax,Munchlax,NULL,4,Baby,NULL,Normal,NULL,390,135,85,40,40,85,5,https://img.pokemondb.net/sprites/sword-shield/icon/munchlax.png,Permitted,0,0,0
458,Mantyke,Mantyke,NULL,4,Baby,NULL,Water,Flying,345,45,20,50,60,120,50,https://img.pokemondb.net/sprites/sword-shield/icon/mantyke.png,Permitted,0,0,0
848,Toxel,Toxel,NULL,8,Baby,NULL,Electric,Poison,242,40,38,35,54,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/toxel.png,Permitted,0,0,0
122,Mime Galarian Mr. Mime,Mr.,Mime Galarian  Mime,8,Common,Mime-jr,Ice,Psychic,460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,Permitted,2,0,228
701,Hawlucha,Hawlucha,NULL,6,Common,NULL,Fighting,Flying,500,78,92,75,74,63,118,https://img.pokemondb.net/sprites/sword-shield/icon/hawlucha.png,Permitted,3,0,227
780,Drampa,Drampa,NULL,7,Common,NULL,Normal,Dragon,485,78,60,85,135,91,36,https://img.pokemondb.net/sprites/sword-shield/icon/drampa.png,Permitted,4,0,226
257,Blaziken,Blaziken,NULL,3,Common,Combusken,Fire,Fighting,530,80,120,70,110,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png,Permitted,6,0,225
91,Cloyster,Cloyster,NULL,1,Common,Shellder,Water,Ice,525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,Permitted,2,0,224
242,Blissey,Blissey,NULL,2,Common,Chansey,Normal,NULL,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png,Permitted,3,0,223
784,Kommo-o,Kommo-o,NULL,7,Common,Hakamo-o,Dragon,Fighting,600,75,110,125,100,105,85,https://img.pokemondb.net/sprites/sword-shield/icon/kommo-o.png,Permitted,2,0,222
573,Cinccino,Cinccino,NULL,5,Common,Minccino,Normal,NULL,470,75,95,60,65,60,115,https://img.pokemondb.net/sprites/sword-shield/icon/cinccino.png,Permitted,3,0,221
697,Tyrantrum,Tyrantrum,NULL,6,Common,Tyrunt,Rock,Dragon,521,82,121,119,69,59,71,https://img.pokemondb.net/sprites/sword-shield/icon/tyrantrum.png,Permitted,918,0,220
169,Crobat,Crobat,NULL,2,Common,Golbat,Poison,Flying,535,85,90,80,70,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,Permitted,5,0,219
196,Espeon,Espeon,NULL,2,Common,Eevee,Psychic,NULL,525,65,65,60,130,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,Permitted,3,0,218
770,Palossand,Palossand,NULL,7,Common,Sandygast,Ghost,Ground,480,85,75,110,100,75,35,https://img.pokemondb.net/sprites/sword-shield/icon/palossand.png,Permitted,5,0,217
310,Manectric,Manectric,NULL,3,Common,Electrike,Electric,NULL,475,70,75,60,105,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png,Permitted,3,0,216
471,Glaceon,Glaceon,NULL,4,Common,Eevee,Ice,NULL,525,65,60,110,130,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/glaceon.png,Permitted,1,0,215
94,Gengar,Gengar,NULL,1,Common,Haunter,Ghost,Poison,500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,Permitted,10,0,214
479,Mow Rotom,Rotom,Mow,4,Common,NULL,Electric,Grass,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-mow.png,Permitted,3,0,213
51,Dugtrio,Dugtrio,NULL,1,Common,Diglett,Ground,NULL,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,Permitted,3,0,212
405,Luxray,Luxray,NULL,4,Common,Luxio,Electric,NULL,523,80,120,79,95,79,70,https://img.pokemondb.net/sprites/sword-shield/icon/luxray.png,Permitted,2,0,211
569,Garbodor,Garbodor,NULL,5,Common,Trubbish,Poison,NULL,474,80,95,82,60,82,75,https://img.pokemondb.net/sprites/sword-shield/icon/garbodor.png,Permitted,1,0,210
128,Tauros,Tauros,NULL,1,Common,NULL,Normal,NULL,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,Permitted,3,0,209
796,Xurkitree,Xurkitree,NULL,7,Common,NULL,Electric,NULL,570,83,89,71,173,71,83,https://img.pokemondb.net/sprites/sword-shield/icon/xurkitree.png,Permitted,4,0,208
617,Accelgor,Accelgor,NULL,5,Common,Shelmet,Bug,NULL,495,80,70,40,100,60,145,https://img.pokemondb.net/sprites/sword-shield/icon/accelgor.png,Permitted,7,0,207
773,Silvally,Silvally,NULL,7,Common,Type-null,Normal,NULL,570,95,95,95,95,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/silvally.png,Permitted,2,0,206
706,Goodra,Goodra,NULL,6,Common,Sliggoo,Dragon,NULL,600,90,100,70,110,150,80,https://img.pokemondb.net/sprites/sword-shield/icon/goodra.png,Permitted,6,0,205
68,Machamp,Machamp,NULL,1,Common,Machoke,Fighting,NULL,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,Permitted,4,0,204
226,Mantine,Mantine,NULL,2,Common,Mantyke,Water,Flying,485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,Permitted,3,0,203
836,Boltund,Boltund,NULL,8,Common,Yamper,Electric,NULL,490,69,90,60,90,60,121,https://img.pokemondb.net/sprites/sword-shield/icon/boltund.png,Permitted,2,0,199
534,Conkeldurr,Conkeldurr,NULL,5,Common,Gurdurr,Fighting,NULL,505,105,140,95,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/conkeldurr.png,Permitted,10,0,198
746,Wishiwashi Solo Form,Wishiwashi,Solo Form,7,Common,NULL,Water,NULL,175,45,20,20,25,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/wishiwashi-solo.png,Permitted,1,0,197
866,Mr. Rime,Mr.,Rime,8,Common,Mr-mime,Ice,Psychic,520,80,85,75,110,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/mr-rime.png,Permitted,2,0,196
632,Durant,Durant,NULL,5,Common,NULL,Bug,Steel,484,58,109,112,48,48,109,https://img.pokemondb.net/sprites/sword-shield/icon/durant.png,Permitted,4,0,194
738,Vikavolt,Vikavolt,NULL,7,Common,Charjabug,Bug,Electric,500,77,70,90,145,75,43,https://img.pokemondb.net/sprites/sword-shield/icon/vikavolt.png,Permitted,3,0,193
823,Corviknight,Corviknight,NULL,8,Common,Corvisquire,Flying,Steel,495,98,87,105,53,85,67,https://img.pokemondb.net/sprites/sword-shield/icon/corviknight.png,Permitted,10,0,192
528,Swoobat,Swoobat,NULL,5,Common,Woobat,Psychic,Flying,425,67,57,55,77,55,114,https://img.pokemondb.net/sprites/sword-shield/icon/swoobat.png,Permitted,2,0,191
660,Diggersby,Diggersby,NULL,6,Common,Bunnelby,Normal,Ground,423,85,56,77,50,77,78,https://img.pokemondb.net/sprites/sword-shield/icon/diggersby.png,Permitted,1,0,189
460,Abomasnow,Abomasnow,NULL,4,Common,Snover,Grass,Ice,494,90,92,75,92,85,60,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow.png,Permitted,5,0,188
470,Leafeon,Leafeon,NULL,4,Common,Eevee,Grass,NULL,525,65,110,130,60,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/leafeon.png,Permitted,5,0,187
466,Electivire,Electivire,NULL,4,Common,Electabuzz,Electric,NULL,540,75,123,67,95,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/electivire.png,Permitted,3,0,186
874,Stonjourner,Stonjourner,NULL,8,Common,NULL,Rock,NULL,470,100,125,135,20,20,70,https://img.pokemondb.net/sprites/sword-shield/icon/stonjourner.png,Permitted,3,0,185
464,Rhyperior,Rhyperior,NULL,4,Common,Rhydon,Ground,Rock,535,115,140,130,55,55,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhyperior.png,Permitted,9,0,184
625,Bisharp,Bisharp,NULL,5,Common,Pawniard,Dark,Steel,490,65,125,100,60,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/bisharp.png,Permitted,10,0,182
842,Appletun,Appletun,NULL,8,Common,Applin,Grass,Dragon,485,110,85,80,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/appletun.png,Permitted,4,0,181
36,Clefable,Clefable,NULL,1,Common,Clefairy,Fairy,NULL,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Permitted,7,0,180
834,Drednaw,Drednaw,NULL,8,Common,Chewtle,Water,Rock,485,90,115,90,48,68,74,https://img.pokemondb.net/sprites/sword-shield/icon/drednaw.png,Permitted,4,0,178
709,Trevenant,Trevenant,NULL,6,Common,Phantump,Ghost,Grass,474,85,110,76,65,82,56,https://img.pokemondb.net/sprites/sword-shield/icon/trevenant.png,Permitted,2,0,177
884,Duraludon,Duraludon,NULL,8,Common,NULL,Steel,Dragon,535,70,95,115,120,50,85,https://img.pokemondb.net/sprites/sword-shield/icon/duraludon.png,Permitted,8,0,176
806,Blacephalon,Blacephalon,NULL,7,Common,NULL,Fire,Ghost,570,53,127,53,151,79,107,https://img.pokemondb.net/sprites/sword-shield/icon/blacephalon.png,Permitted,9,0,175
141,Kabutops,Kabutops,NULL,1,Common,Kabuto,Rock,Water,495,60,115,105,65,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,Permitted,4,0,173
142,Aerodactyl,Aerodactyl,NULL,1,Common,NULL,Rock,Flying,515,80,105,65,60,75,130,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,Permitted,5,0,172
560,Scrafty,Scrafty,NULL,5,Common,Scraggy,Dark,Fighting,488,65,90,115,45,115,58,https://img.pokemondb.net/sprites/sword-shield/icon/scrafty.png,Permitted,6,0,171
862,Obstagoon,Obstagoon,NULL,8,Common,Linoone,Dark,Normal,520,93,90,101,60,81,95,https://img.pokemondb.net/sprites/sword-shield/icon/obstagoon.png,Permitted,6,0,170
346,Cradily,Cradily,NULL,3,Common,Lileep,Rock,Grass,495,86,81,97,81,107,43,https://img.pokemondb.net/sprites/sword-shield/icon/cradily.png,Permitted,11,0,169
555,Darmanitan Standard Mode,Darmanitan,Standard Mode,5,Common,Darumaka,Fire,NULL,480,105,140,55,30,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/darmanitan-standard.png,Permitted,3,0,168
149,Dragonite,Dragonite,NULL,1,Common,Dragonair,Dragon,Flying,600,91,134,95,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,Permitted,10,0,167
103,Alolan Exeggutor,Exeggutor,Alolan,7,Common,Exeggcute,Grass,Dragon,530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,Permitted,6,0,166
754,Lurantis,Lurantis,NULL,7,Common,Fomantis,Grass,NULL,480,70,105,90,80,90,45,https://img.pokemondb.net/sprites/sword-shield/icon/lurantis.png,Permitted,4,0,164
630,Mandibuzz,Mandibuzz,NULL,5,Common,Vullaby,Dark,Flying,510,110,65,105,55,95,80,https://img.pokemondb.net/sprites/sword-shield/icon/mandibuzz.png,Permitted,3,0,163
593,Jellicent,Jellicent,NULL,5,Common,Frillish,Water,Ghost,480,100,60,70,85,105,60,https://img.pokemondb.net/sprites/sword-shield/icon/jellicent.png,Permitted,6,0,161
526,Gigalith,Gigalith,NULL,5,Common,Boldore,Rock,NULL,515,85,135,130,60,80,25,https://img.pokemondb.net/sprites/sword-shield/icon/gigalith.png,Permitted,4,0,160
478,Froslass,Froslass,NULL,4,Common,Snorunt,Ice,Ghost,480,70,80,70,80,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/froslass.png,Permitted,4,0,159
707,Klefki,Klefki,NULL,6,Common,NULL,Steel,Fairy,470,57,80,91,80,87,75,https://img.pokemondb.net/sprites/sword-shield/icon/klefki.png,Permitted,5,0,158
334,Altaria,Altaria,NULL,3,Common,Swablu,Dragon,Flying,490,75,70,90,70,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png,Permitted,3,0,157
103,Exeggutor,Exeggutor,NULL,1,Common,Exeggcute,Grass,Psychic,530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,Permitted,3,0,156
421,Cherrim,Cherrim,NULL,4,Common,Cherubi,Grass,NULL,450,70,60,70,87,78,85,https://img.pokemondb.net/sprites/sword-shield/icon/cherrim.png,Permitted,8,0,155
750,Mudsdale,Mudsdale,NULL,7,Common,Mudbray,Ground,NULL,500,100,125,100,55,85,35,https://img.pokemondb.net/sprites/sword-shield/icon/mudsdale.png,Permitted,6,0,154
448,Lucario,Lucario,NULL,4,Common,Riolu,Fighting,Steel,525,70,110,70,115,70,90,https://img.pokemondb.net/sprites/sword-shield/icon/lucario.png,Permitted,9,0,153
12,Butterfree,Butterfree,NULL,1,Common,Metapod,Bug,Flying,395,60,45,50,90,80,70,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Permitted,16,0,152
474,Porygon-Z,Porygon-Z,NULL,4,Common,Porygon2,Normal,NULL,535,85,80,70,135,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/porygon-z.png,Permitted,7,0,151
820,Greedent,Greedent,NULL,8,Common,Skwovet,Normal,NULL,460,120,95,95,55,75,20,https://img.pokemondb.net/sprites/sword-shield/icon/greedent.png,Permitted,1,0,150
851,Centiskorch,Centiskorch,NULL,8,Common,Sizzlipede,Fire,Bug,525,100,115,65,90,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/centiskorch.png,Permitted,12,0,149
681,Aegislash Shield Forme,Aegislash,Shield Forme,6,Common,Doublade,Steel,Ghost,500,60,50,140,50,140,60,https://img.pokemondb.net/sprites/sword-shield/icon/aegislash-shield.png,Permitted,10,0,148
871,Pincurchin,Pincurchin,NULL,8,Common,NULL,Electric,NULL,435,48,101,95,91,85,15,https://img.pokemondb.net/sprites/sword-shield/icon/pincurchin.png,Permitted,9,0,147
254,Sceptile,Sceptile,NULL,3,Common,Grovyle,Grass,NULL,530,70,85,65,105,85,120,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png,Permitted,5,0,146
880,Dracozolt,Dracozolt,NULL,8,Common,NULL,Electric,Dragon,505,90,100,90,80,70,75,https://img.pokemondb.net/sprites/sword-shield/icon/dracozolt.png,Permitted,8,0,145
454,Toxicroak,Toxicroak,NULL,4,Common,Croagunk,Poison,Fighting,490,83,106,65,86,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/toxicroak.png,Permitted,2,0,144
609,Chandelure,Chandelure,NULL,5,Common,Lampent,Ghost,Fire,520,60,55,90,145,90,80,https://img.pokemondb.net/sprites/sword-shield/icon/chandelure.png,Permitted,9,0,143
275,Shiftry,Shiftry,NULL,3,Common,Nuzleaf,Grass,Dark,480,90,100,60,90,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png,Permitted,3,0,142
730,Primarina,Primarina,NULL,7,Common,Brionne,Water,Fairy,530,80,74,74,126,116,60,https://img.pokemondb.net/sprites/sword-shield/icon/primarina.png,Permitted,11,0,141
530,Excadrill,Excadrill,NULL,5,Common,Drilbur,Ground,Steel,508,110,135,60,50,65,88,https://img.pokemondb.net/sprites/sword-shield/icon/excadrill.png,Permitted,10,0,140
426,Drifblim,Drifblim,NULL,4,Common,Drifloon,Ghost,Flying,498,150,80,44,90,54,80,https://img.pokemondb.net/sprites/sword-shield/icon/drifblim.png,Permitted,3,0,139
553,Krookodile,Krookodile,NULL,5,Common,Krokorok,Ground,Dark,519,95,117,80,65,70,92,https://img.pokemondb.net/sprites/sword-shield/icon/krookodile.png,Permitted,11,0,138
115,Kangaskhan,Kangaskhan,NULL,1,Common,NULL,Normal,NULL,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,Permitted,6,0,136
695,Heliolisk,Heliolisk,NULL,6,Common,Helioptile,Electric,Normal,481,62,55,52,109,94,109,https://img.pokemondb.net/sprites/sword-shield/icon/heliolisk.png,Permitted,8,0,134
445,Garchomp,Garchomp,NULL,4,Common,Gabite,Dragon,Ground,600,108,130,95,80,85,102,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp.png,Permitted,15,0,133
130,Gyarados,Gyarados,NULL,1,Common,Magikarp,Water,Flying,540,95,125,79,60,100,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,Permitted,15,0,132
777,Togedemaru,Togedemaru,NULL,7,Common,NULL,Electric,Steel,435,65,98,63,40,73,96,https://img.pokemondb.net/sprites/sword-shield/icon/togedemaru.png,Permitted,7,0,131
793,Nihilego,Nihilego,NULL,7,Common,NULL,Rock,Poison,570,109,53,47,127,131,103,https://img.pokemondb.net/sprites/sword-shield/icon/nihilego.png,Permitted,7,0,130
765,Oranguru,Oranguru,NULL,7,Common,NULL,Normal,Psychic,490,90,60,80,90,110,60,https://img.pokemondb.net/sprites/sword-shield/icon/oranguru.png,Permitted,17,0,129
99,Kingler,Kingler,NULL,1,Common,Krabby,Water,NULL,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,Permitted,9,0,128
110,Galarian Weezing,Weezing,Galarian,8,Common,Koffing,Poison,Fairy,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,Permitted,8,0,127
279,Pelipper,Pelipper,NULL,3,Common,Wingull,Water,Flying,440,60,50,100,95,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png,Permitted,8,0,126
748,Toxapex,Toxapex,NULL,7,Common,Mareanie,Poison,Water,495,50,63,152,53,142,35,https://img.pokemondb.net/sprites/sword-shield/icon/toxapex.png,Permitted,5,0,124
80,Slowbro,Slowbro,NULL,1,Common,Slowpoke,Water,Psychic,490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,Permitted,4,0,122
105,Alolan Marowak,Marowak,Alolan,7,Common,Cubone,Fire,Ghost,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,Permitted,16,0,121
38,Alolan Ninetales,Ninetales,Alolan,7,Common,Vulpix,Ice,Fairy,505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Permitted,16,0,120
25,Pikachu,Pikachu,NULL,1,Common,Pichu,Electric,NULL,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Permitted,13,0,119
248,Tyranitar,Tyranitar,NULL,2,Common,Pupitar,Rock,Dark,600,100,134,110,95,100,61,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png,Permitted,24,0,118
212,Scizor,Scizor,NULL,2,Common,Scyther,Bug,Steel,500,70,130,100,55,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,Permitted,7,0,116
184,Azumarill,Azumarill,NULL,2,Common,Marill,Water,Fairy,420,100,50,80,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,Permitted,9,0,115
260,Swampert,Swampert,NULL,3,Common,Marshtomp,Water,Ground,535,100,110,90,85,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png,Permitted,7,0,114
199,Slowking,Slowking,NULL,2,Common,Slowpoke,Water,Psychic,490,95,75,80,100,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,Permitted,2,0,113
272,Ludicolo,Ludicolo,NULL,3,Common,Lombre,Water,Grass,480,80,70,70,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png,Permitted,16,0,112
186,Politoed,Politoed,NULL,2,Common,Poliwhirl,Water,NULL,500,90,75,75,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,Permitted,7,0,111
479,Wash Rotom,Rotom,Wash,4,Common,NULL,Electric,Water,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-wash.png,Permitted,16,0,110
589,Escavalier,Escavalier,NULL,5,Common,Karrablast,Bug,Steel,495,70,135,105,60,105,20,https://img.pokemondb.net/sprites/sword-shield/icon/escavalier.png,Permitted,9,0,109
215,Sneasel,Sneasel,NULL,2,Common,NULL,Dark,Ice,430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,Permitted,3,0,108
858,Hatterene,Hatterene,NULL,8,Common,Hattrem,Psychic,Fairy,510,57,90,95,136,103,29,https://img.pokemondb.net/sprites/sword-shield/icon/hatterene.png,Permitted,22,0,107
373,Salamence,Salamence,NULL,3,Common,Shelgon,Dragon,Flying,600,95,135,80,110,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/salamence.png,Permitted,8,0,106
818,Inteleon,Inteleon,NULL,8,Common,Drizzile,Water,NULL,530,70,85,65,125,65,120,https://img.pokemondb.net/sprites/sword-shield/icon/inteleon.png,Permitted,11,0,105
601,Klinklang,Klinklang,NULL,5,Common,Klang,Steel,NULL,520,60,100,115,70,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/klinklang.png,Permitted,884,0,104
350,Milotic,Milotic,NULL,3,Common,Feebas,Water,NULL,540,95,60,79,100,125,81,https://img.pokemondb.net/sprites/sword-shield/icon/milotic.png,Permitted,30,0,102
663,Talonflame,Talonflame,NULL,6,Common,Fletchinder,Fire,Flying,499,78,81,71,74,69,126,https://img.pokemondb.net/sprites/sword-shield/icon/talonflame.png,Permitted,22,0,101
805,Stakataka,Stakataka,NULL,7,Common,NULL,Rock,Steel,570,61,131,211,53,101,13,https://img.pokemondb.net/sprites/sword-shield/icon/stakataka.png,Permitted,23,0,98
143,Snorlax,Snorlax,NULL,1,Common,Munchlax,Normal,NULL,540,160,110,65,65,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,Permitted,18,0,97
53,Alolan Persian,Persian,Alolan,7,Common,Meowth,Dark,NULL,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Permitted,19,0,96
678,Meowstic Male,Meowstic,Male,6,Common,Espurr,Psychic,NULL,466,74,48,76,83,81,104,https://img.pokemondb.net/sprites/sword-shield/icon/meowstic-male.png,Permitted,15,0,95
637,Volcarona,Volcarona,NULL,5,Common,Larvesta,Bug,Fire,550,85,60,65,135,105,100,https://img.pokemondb.net/sprites/sword-shield/icon/volcarona.png,Permitted,28,0,94
213,Shuckle,Shuckle,NULL,2,Common,NULL,Bug,Rock,505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png,Permitted,7,0,92
555,Darmanitan Galarian Standard Mode,Darmanitan,Galarian Standard Mode,8,Common,Darumaka,Ice,NULL,480,105,140,55,30,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/darmanitan-galarian-standard.png,Permitted,15,0,90
237,Hitmontop,Hitmontop,NULL,2,Common,Tyrogue,Fighting,NULL,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png,Permitted,27,0,89
882,Dracovish,Dracovish,NULL,8,Common,NULL,Water,Dragon,505,90,90,100,70,80,75,https://img.pokemondb.net/sprites/sword-shield/icon/dracovish.png,Permitted,32,0,87
763,Tsareena,Tsareena,NULL,7,Common,Steenee,Grass,NULL,510,72,120,98,50,98,72,https://img.pokemondb.net/sprites/sword-shield/icon/tsareena.png,Permitted,26,0,85
461,Weavile,Weavile,NULL,4,Common,Sneasel,Dark,Ice,510,70,120,65,45,85,125,https://img.pokemondb.net/sprites/sword-shield/icon/weavile.png,Permitted,14,0,84
635,Hydreigon,Hydreigon,NULL,5,Common,Zweilous,Dark,Dragon,600,92,105,90,125,90,98,https://img.pokemondb.net/sprites/sword-shield/icon/hydreigon.png,Permitted,13,0,83
510,Liepard,Liepard,NULL,5,Common,Purrloin,Dark,NULL,446,64,88,50,88,50,106,https://img.pokemondb.net/sprites/sword-shield/icon/liepard.png,Permitted,16,0,82
869,Alcremie,Alcremie,NULL,8,Common,Milcery,Fairy,NULL,495,65,60,75,110,121,64,https://img.pokemondb.net/sprites/sword-shield/icon/alcremie.png,Permitted,18,0,80
113,Chansey,Chansey,NULL,1,Common,Happiny,Normal,NULL,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,Permitted,6,0,76
