Move,Use Percentage,Pokemon,Monthly Move Use,Damage Class,Type1,Type2
Protect,4.883,Espeon,0.14649,Status,Psychic,Psychic
Protect,87.579,Tyrantrum,803.97522,Status,Rock,Dragon
Protect,10.94,Cinccino,0.3282,Status,Normal,Normal
Protect,87.442,Kommo-o,1.74884,Status,Dragon,Fighting
Protect,60.618,Cloyster,1.21236,Status,Water,Ice
Protect,78.281,Blaziken,4.69686,Status,Fire,Fighting
Protect,13.994,Drampa,0.55976,Status,Normal,Dragon
Protect,12.672,Grapploct,0,Status,Fighting,Fighting
Protect,47.421,Zoroark,0,Status,Dark,Dark
Protect,36.674,Lilligant,0,Status,Grass,Grass
Protect,25.162,Clawitzer,0,Status,Water,Water
Protect,6.573,Haxorus,0,Status,Dragon,Dragon
Protect,38.417,Dhelmise,0,Status,Grass,Ghost
Protect,11.221,Runerigus,0,Status,Ground,Ghost
Protect,70.32,Braviary,0,Status,Normal,Flying
Protect,67.304,Virizion,0,Status,Grass,Fighting
Protect,73.459,Togetic,0,Status,Fairy,Flying
Protect,40.703,Alolan Raichu,0,Status,Electric,Psychic
Protect,25.439,Beartic,0,Status,Ice,Ice
Protect,28.401,Copperajah,0,Status,Steel,Steel
Protect,75.794,Flapple,0,Status,Grass,Dragon
Protect,59.852,Sylveon,0,Status,Fairy,Fairy
Protect,5.742,Slurpuff,0,Status,Fairy,Fairy
Protect,81.742,Eiscue Ice Face,0,Status,Ice,Ice
Protect,47.416,Hippowdon,0,Status,Ground,Ground
Protect,53.21,Alakazam,0,Status,Psychic,Psychic
Protect,54.673,Arctozolt,0,Status,Electric,Ice
Protect,19.047,Starmie,0,Status,Water,Psychic
Protect,10.422,Turtonator,0,Status,Fire,Dragon
Protect,95.309,Sharpedo,0,Status,Water,Dark
Protect,7.267,Salazzle,0,Status,Poison,Fire
Protect,53.752,Ninetales,0,Status,Fire,Fire
Protect,16.429,Sirfetch'd,0,Status,Fighting,Fighting
Protect,12.22,Ribombee,0,Status,Bug,Fairy
Protect,12.981,Charjabug,0,Status,Bug,Electric
Protect,49.377,Toxtricity Low Key Form,0,Status,Electric,Poison
Protect,90.257,Vaporeon,0,Status,Water,Water
Protect,59.983,Mr. Mime,0,Status,Psychic,Fairy
Protect,83.96,Magnezone,0,Status,Electric,Steel
Protect,8.359,Gallade,0,Status,Psychic,Fighting
Protect,4.948,Lopunny,0,Status,Normal,Normal
Protect,58.104,Malamar,0,Status,Dark,Psychic
Protect,17.716,Golisopod,0,Status,Bug,Water
Protect,17.609,Golduck,0,Status,Water,Water
Protect,83.578,Shiinotic,0,Status,Grass,Fairy
Protect,72.383,Lycanroc Dusk Form,0,Status,Rock,Rock
Protect,8.383,Unfezant,0,Status,Normal,Flying
Protect,17.094,Perrserker,0,Status,Steel,Steel
Protect,16.763,Galarian Slowbro,0,Status,Poison,Psychic
Protect,75.251,Frost Rotom,0,Status,Electric,Ice
Protect,90.387,Roserade,0,Status,Grass,Poison
Protect,12.745,Tangrowth,0,Status,Grass,Grass
Protect,79.327,Sandaconda,0,Status,Ground,Ground
Protect,13.081,Polteageist,0,Status,Ghost,Ghost
Protect,79.869,Tangela,0,Status,Grass,Grass
Protect,30.138,Morpeko Full Belly Mode,0,Status,Electric,Dark
Protect,6.521,Miltank,0,Status,Normal,Normal
Protect,35.299,Crawdaunt,0,Status,Water,Dark
Protect,53.783,Heracross,0,Status,Bug,Fighting
Protect,78.948,Magneton,0,Status,Electric,Steel
Protect,24.591,Stoutland,0,Status,Normal,Normal
Protect,9.047,Noivern,0,Status,Flying,Dragon
Protect,32.156,Jolteon,0,Status,Electric,Electric
Protect,21.109,Cursola,0,Status,Ghost,Ghost
Protect,42.911,Falinks,0,Status,Fighting,Fighting
Protect,19.588,Dedenne,0,Status,Electric,Fairy
Protect,77.894,Flygon,0,Status,Ground,Dragon
Protect,25.085,Reuniclus,0,Status,Psychic,Psychic
Protect,46.477,Drapion,0,Status,Dark,Poison
Protect,33.522,Exploud,0,Status,Normal,Normal
Protect,64.885,Wigglytuff,0,Status,Normal,Fairy
Protect,8.494,Galarian Corsola,0,Status,Ghost,Ghost
Protect,55.52,Vanilluxe,0,Status,Ice,Ice
Protect,89.139,Seaking,0,Status,Water,Water
Protect,3.754,Sigilyph,0,Status,Psychic,Flying
Protect,25.005,Decidueye,0,Status,Grass,Ghost
Protect,66.57,Galvantula,0,Status,Bug,Electric
Protect,98.319,Arctovish,0,Status,Water,Ice
Protect,25.923,Maractus,0,Status,Grass,Grass
Protect,5.489,Orbeetle,0,Status,Bug,Psychic
Protect,28.765,Passimian,0,Status,Fighting,Fighting
Protect,35.81,Lycanroc Midday Form,0,Status,Rock,Rock
Protect,9.791,Beheeyem,0,Status,Psychic,Psychic
Protect,33.582,Marowak,0,Status,Ground,Ground
Protect,85.918,Tentacruel,0,Status,Poison,Water
Protect,92.448,Dragalge,0,Status,Poison,Dragon
Protect,65.353,Flareon,0,Status,Fire,Fire
Protect,86.025,Bewear,0,Status,Normal,Fighting
Protect,52.899,Scyther,0,Status,Bug,Flying
Protect,56.919,Alolan Sandslash,0,Status,Ice,Steel
Protect,52.147,Poliwrath,0,Status,Water,Fighting
Protect,54.432,Lycanroc Midnight Form,0,Status,Rock,Rock
Protect,82.856,Golurk,0,Status,Ground,Ghost
Protect,11.821,Lickilicky,0,Status,Normal,Normal
Protect,95.162,Fan Rotom,0,Status,Electric,Flying
Protect,15.894,Hitmonlee,0,Status,Fighting,Fighting
Protect,70.405,Scolipede,0,Status,Bug,Poison
Protect,12.438,Dunsparce,0,Status,Normal,Normal
Protect,33.533,Sandslash,0,Status,Ground,Ground
Protect,93.523,Steelix,0,Status,Ground,Steel
Protect,87.569,Noctowl,0,Status,Normal,Flying
Protect,99.994,Corsola,0,Status,Water,Rock
Protect,99.479,Mime Jr.,0,Status,Psychic,Fairy
Sacred Sword,84.154,Zacian Crowned Sword,915.59552,Physical,Fairy,Steel
Sacred Sword,79.657,Kartana,93.99526,Physical,Grass,Steel
Sacred Sword,6.292,Aegislash Shield Forme,0.6292,Physical,Steel,Ghost
Sacred Sword,34.585,Terrakion,1.72925,Physical,Rock,Fighting
Sacred Sword,11.15,Cobalion,0.669,Physical,Fighting,Steel
Sacred Sword,23.068,Virizion,0,Physical,Grass,Fighting
Play Rough,64.487,Zacian Crowned Sword,701.61856,Physical,Fairy,Steel
Play Rough,41.47,Mimikyu,47.2758,Physical,Ghost,Fairy
Play Rough,20.904,Azumarill,1.88136,Physical,Water,Fairy
Play Rough,7.758,Klefki,0.3879,Physical,Fairy,Steel
Play Rough,51.433,Beartic,0,Physical,Ice,Ice
Play Rough,30.973,Copperajah,0,Physical,Steel,Steel
Play Rough,2.978,Slurpuff,0,Physical,Fairy,Fairy
Play Rough,6.996,Lopunny,0,Physical,Normal,Normal
Play Rough,8.374,Lycanroc Dusk Form,0,Physical,Rock,Rock
Play Rough,35.295,Perrserker,0,Physical,Steel,Steel
Play Rough,67.263,Miltank,0,Physical,Normal,Normal
Play Rough,26.219,Stoutland,0,Physical,Normal,Normal
Play Rough,39.747,Lycanroc Midday Form,0,Physical,Rock,Rock
Play Rough,56.621,Lycanroc Midnight Form,0,Physical,Rock,Rock
Substitute,30.274,Zacian Crowned Sword,329.38112,Status,Fairy,Steel
Substitute,41.087,Zygarde Complete Forme,17.25654,Status,Ground,Dragon
Substitute,50.252,Landorus Incarnate Forme,11.55796,Status,Ground,Flying
Substitute,28.355,Dracovish,9.0736,Status,Water,Dragon
Substitute,69.009,Galarian Weezing,5.52072,Status,Poison,Fairy
Substitute,28.799,Moltres,0.86397,Status,Fire,Flying
Substitute,12.912,Pincurchin,1.16208,Status,Electric,Electric
Substitute,10.04,Aegislash Shield Forme,1.004,Status,Steel,Ghost
Substitute,9.63,Darmanitan Standard Mode,0.2889,Status,Fire,Fire
Substitute,6.989,Heatran,0.62901,Status,Fire,Steel
Substitute,84.634,Swoobat,1.69268,Status,Psychic,Flying
Substitute,6.055,Accelgor,0.42385,Status,Bug,Bug
Substitute,78.517,Manectric,2.35551,Status,Electric,Electric
Substitute,35.652,Magneton,0,Status,Electric,Steel
Substitute,9.566,Dedenne,0,Status,Electric,Fairy
Substitute,14.445,Galarian Corsola,0,Status,Ghost,Ghost
Substitute,9.016,Hitmonlee,0,Status,Fighting,Fighting
Quick Attack,8.491,Zacian Crowned Sword,92.38208,Physical,Fairy,Steel
Quick Attack,19.387,Leafeon,0.96935,Physical,Grass,Grass
Quick Attack,66.087,Sylveon,0,Physical,Fairy,Fairy
Quick Attack,4.634,Flareon,0,Physical,Fire,Fire
Quick Attack,9.841,Scyther,0,Physical,Bug,Flying
Fake Out,99.796,Incineroar,1121.70704,Physical,Fire,Dark
Fake Out,15.003,Grimmsnarl,86.56731,Physical,Dark,Fairy
Fake Out,97.616,Rillaboom,470.50912,Physical,Grass,Grass
Fake Out,60.24,Blastoise,59.0352,Physical,Water,Water
Fake Out,98.544,Raichu,91.64592,Physical,Electric,Electric
Fake Out,60.813,Sableye,28.58211,Physical,Ghost,Dark
Fake Out,93.331,Gothitelle,18.6662,Physical,Psychic,Psychic
Fake Out,98.84,Mienshao,17.7912,Physical,Fighting,Fighting
Fake Out,93.209,Liepard,14.91344,Physical,Dark,Dark
Fake Out,97.093,Weavile,13.59302,Physical,Dark,Ice
Fake Out,97.021,Hitmontop,26.19567,Physical,Fighting,Fighting
Fake Out,32.01,Meowstic Male,4.8015,Physical,Psychic,Psychic
Fake Out,94.099,Alolan Persian,17.87881,Physical,Dark,Dark
Fake Out,82.69,Sneasel,2.4807,Physical,Dark,Ice
Fake Out,61.956,Ludicolo,9.91296,Physical,Water,Grass
Fake Out,97.76,Pikachu,12.7088,Physical,Electric,Electric
Fake Out,17.459,Togedemaru,1.22213,Physical,Electric,Steel
Fake Out,99.887,Kangaskhan,5.99322,Physical,Normal,Normal
Fake Out,73.333,Shiftry,2.19999,Physical,Grass,Dark
Fake Out,90.086,Toxicroak,1.80172,Physical,Poison,Fighting
Fake Out,96.795,Scrafty,5.8077,Physical,Fighting,Dark
Fake Out,98.966,Mr. Rime,1.97932,Physical,Psychic,Ice
Fake Out,94.73,Mime Galarian Mr. Mime,1.8946,Physical,Psychic,Ice
Fake Out,43.195,Alolan Raichu,0,Physical,Electric,Psychic
Fake Out,98.395,Torracat,0,Physical,Fire,Fire
Fake Out,76.824,Salazzle,0,Physical,Poison,Fire
Fake Out,92.115,Mr. Mime,0,Physical,Psychic,Fairy
Fake Out,68.36,Lopunny,0,Physical,Normal,Normal
Fake Out,79.867,Perrserker,0,Physical,Steel,Steel
Fake Out,90.552,Morpeko Full Belly Mode,0,Physical,Electric,Dark
Fake Out,46.212,Hitmonlee,0,Physical,Fighting,Fighting
Flare Blitz,98.84,Incineroar,1110.9616,Physical,Fire,Dark
Flare Blitz,57.003,Entei,28.5015,Physical,Fire,Fire
Flare Blitz,10.669,Cinderace,4.80105,Physical,Fire,Fire
Flare Blitz,4.52,Coalossal,1.808,Physical,Fire,Rock
Flare Blitz,18.755,Arcanine,4.31365,Physical,Fire,Fire
Flare Blitz,99.507,Darmanitan Galarian Standard Mode,14.92605,Physical,Ice,Ice
Flare Blitz,27.48,Talonflame,6.0456,Physical,Fire,Flying
Flare Blitz,99.748,Alolan Marowak,15.95968,Physical,Fire,Ghost
Flare Blitz,94.147,Centiskorch,11.29764,Physical,Fire,Bug
Flare Blitz,97.886,Darmanitan Standard Mode,2.93658,Physical,Fire,Fire
Flare Blitz,25.729,Blaziken,1.54374,Physical,Fire,Fighting
Flare Blitz,98.294,Flareon,0,Physical,Fire,Fire
Parting Shot,96.074,Incineroar,1079.87176,Status,Fire,Dark
Parting Shot,9.867,Alolan Persian,1.87473,Status,Dark,Dark
Parting Shot,20.607,Obstagoon,1.23642,Status,Dark,Normal
Parting Shot,43.151,Silvally,0.86302,Status,Normal,Normal
Parting Shot,99.999,Torracat,0,Status,Fire,Fire
Parting Shot,54.022,Thievul,0,Status,Dark,Dark
Parting Shot,94.834,Morpeko Full Belly Mode,0,Status,Electric,Dark
Darkest Lariat,40.006,Incineroar,449.66744,Physical,Fire,Dark
Darkest Lariat,15.461,Regigigas,5.72057,Physical,Normal,Normal
Darkest Lariat,41.896,Snorlax,7.54128,Physical,Normal,Normal
Darkest Lariat,25.322,Krookodile,2.78542,Physical,Ground,Dark
Darkest Lariat,95.84,Electivire,2.8752,Physical,Electric,Electric
Darkest Lariat,23.038,Dusknoir,0,Physical,Ghost,Ghost
Darkest Lariat,91.567,Bewear,0,Physical,Normal,Fighting
Darkest Lariat,16.886,Poliwrath,0,Physical,Water,Fighting
Throat Chop,21.099,Incineroar,237.15276,Physical,Fire,Dark
Throat Chop,55.04,Barraskewda,20.3648,Physical,Water,Water
Throat Chop,9.203,Pheromosa,2.66887,Physical,Bug,Fighting
Throat Chop,13.146,Weavile,1.84044,Physical,Dark,Ice
Throat Chop,17.004,Galarian Zapdos,4.42104,Physical,Fighting,Flying
Throat Chop,68.177,Shiftry,2.04531,Physical,Grass,Dark
Throat Chop,6.455,Obstagoon,0.3873,Physical,Dark,Normal
Throat Chop,26.954,Scrafty,1.61724,Physical,Fighting,Dark
Throat Chop,8.382,Tauros,0.25146,Physical,Normal,Normal
Throat Chop,84.021,Luxray,1.68042,Physical,Electric,Electric
Throat Chop,8.365,Beartic,0,Physical,Ice,Ice
Throat Chop,4.192,Gallade,0,Physical,Psychic,Fighting
Throat Chop,75.328,Malamar,0,Physical,Dark,Psychic
Throat Chop,7.187,Perrserker,0,Physical,Steel,Steel
Throat Chop,13.113,Heracross,0,Physical,Bug,Fighting
Throat Chop,29.027,Falinks,0,Physical,Fighting,Fighting
Throat Chop,34.112,Hitmonlee,0,Physical,Fighting,Fighting
Throat Chop,94.336,Corsola,0,Physical,Water,Rock
Taunt,20.389,Incineroar,229.17236,Status,Fire,Dark
Taunt,17.885,Thundurus Incarnate Forme,62.9552,Status,Electric,Flying
Taunt,27.545,Whimsicott,117.06625,Status,Grass,Fairy
Taunt,24.366,Tornadus Incarnate Forme,46.53906,Status,Flying,Flying
Taunt,66.251,Dusclops,58.30088,Status,Ghost,Ghost
Taunt,97.786,Weezing,42.04798,Status,Poison,Poison
Taunt,30.703,Tapu Lele,7.06169,Status,Psychic,Fairy
Taunt,43.916,Mimikyu,50.06424,Status,Ghost,Fairy
Taunt,9.664,Gothitelle,1.9328,Status,Psychic,Psychic
Taunt,17.898,Umbreon,6.2643,Status,Dark,Dark
Taunt,47.284,Spectrier,8.98396,Status,Ghost,Ghost
Taunt,41.363,Tsareena,10.75438,Status,Grass,Grass
Taunt,9.719,Galarian Zapdos,2.52694,Status,Fighting,Flying
Taunt,6.348,Alolan Persian,1.20612,Status,Dark,Dark
Taunt,10.039,Galarian Moltres,3.51365,Status,Dark,Flying
Taunt,17.313,Talonflame,3.80886,Status,Fire,Flying
Taunt,13.294,Sneasel,0.39882,Status,Dark,Ice
Taunt,28.552,Galarian Weezing,2.28416,Status,Poison,Fairy
Taunt,21.789,Gyarados,3.26835,Status,Water,Flying
Taunt,51.843,Tapu Bulu,1.03686,Status,Grass,Fairy
Taunt,30.023,Froslass,1.20092,Status,Ice,Ghost
Taunt,3.904,Jellicent,0.23424,Status,Water,Ghost
Taunt,62.001,Mandibuzz,1.86003,Status,Dark,Flying
Taunt,44.258,Obstagoon,2.65548,Status,Dark,Normal
Taunt,8.244,Scrafty,0.49464,Status,Fighting,Dark
Taunt,6.8,Aerodactyl,0.34,Status,Rock,Flying
Taunt,12.859,Heatran,1.15731,Status,Fire,Steel
Taunt,23.932,Bisharp,2.3932,Status,Dark,Steel
Taunt,10.71,Corviknight,1.071,Status,Flying,Steel
Taunt,3.658,Gengar,0.3658,Status,Ghost,Poison
Taunt,25.832,Crobat,1.2916,Status,Poison,Flying
Taunt,20.838,Zoroark,0,Status,Dark,Dark
Taunt,4.292,Virizion,0,Status,Grass,Fighting
Taunt,7.572,Alakazam,0,Status,Psychic,Psychic
Taunt,91.691,Torracat,0,Status,Fire,Fire
Taunt,15.534,Thievul,0,Status,Dark,Dark
Taunt,36.166,Salazzle,0,Status,Poison,Fire
Taunt,48.955,Emolga,0,Status,Electric,Flying
Taunt,26.599,Toxtricity Low Key Form,0,Status,Electric,Poison
Taunt,27.722,Mr. Mime,0,Status,Psychic,Fairy
Taunt,17.463,Unfezant,0,Status,Normal,Flying
Taunt,11.065,Perrserker,0,Status,Steel,Steel
Taunt,18.154,Morpeko Full Belly Mode,0,Status,Electric,Dark
Taunt,22.837,Noivern,0,Status,Flying,Dragon
Taunt,60.279,Drapion,0,Status,Dark,Poison
Taunt,75.36,Vanilluxe,0,Status,Ice,Ice
Taunt,96.89,Mime Jr.,0,Status,Psychic,Fairy
Snarl,9.495,Incineroar,106.7238,Special,Fire,Dark
Snarl,22.241,Calyrex Shadow Rider,80.73483,Special,Psychic,Ghost
Snarl,28.703,Entei,14.3515,Special,Fire,Fire
Snarl,90.784,Umbreon,31.7744,Special,Dark,Dark
Snarl,85.823,Spectrier,16.30637,Special,Ghost,Ghost
Snarl,66.137,Arcanine,15.21151,Special,Fire,Fire
Snarl,62.251,Zamazenta Crowned Shield,25.52291,Special,Fighting,Steel
Snarl,85.882,Suicune,24.04696,Special,Water,Water
Snarl,21.064,Liepard,3.37024,Special,Dark,Dark
Snarl,16.88,Hydreigon,2.1944,Special,Dark,Dragon
Snarl,9.429,Glastrier,1.22577,Special,Ice,Ice
Snarl,37.83,Galarian Moltres,13.2405,Special,Dark,Flying
