ID,Name,Species,Variant,Generation,Evolves_from,Type1,Type2,Total,HP,Attack,Defense,Special_Atk,Special_Def,Speed,image_url,VGC2022_rules,Monthly Usage (k)
746,Wishiwashi Solo Form,Wishiwashi,Solo Form,7,NULL,Water,NULL,175,45,20,20,25,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/wishiwashi-solo.png,Permitted,1
866,Mr. Rime,Mr.,Rime,8,Mr-mime,Ice,Psychic,520,80,85,75,110,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/mr-rime.png,Permitted,2
632,Durant,Durant,NULL,5,NULL,Bug,Steel,484,58,109,112,48,48,109,https://img.pokemondb.net/sprites/sword-shield/icon/durant.png,Permitted,4
738,Vikavolt,Vikavolt,NULL,7,Charjabug,Bug,Electric,500,77,70,90,145,75,43,https://img.pokemondb.net/sprites/sword-shield/icon/vikavolt.png,Permitted,3
823,Corviknight,Corviknight,NULL,8,Corvisquire,Flying,Steel,495,98,87,105,53,85,67,https://img.pokemondb.net/sprites/sword-shield/icon/corviknight.png,Permitted,10
528,Swoobat,Swoobat,NULL,5,Woobat,Psychic,Flying,425,67,57,55,77,55,114,https://img.pokemondb.net/sprites/sword-shield/icon/swoobat.png,Permitted,2
660,Diggersby,Diggersby,NULL,6,Bunnelby,Normal,Ground,423,85,56,77,50,77,78,https://img.pokemondb.net/sprites/sword-shield/icon/diggersby.png,Permitted,1
460,Abomasnow,Abomasnow,NULL,4,Snover,Grass,Ice,494,90,92,75,92,85,60,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow.png,Permitted,5
470,Leafeon,Leafeon,NULL,4,Eevee,Grass,NULL,525,65,110,130,60,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/leafeon.png,Permitted,5
466,Electivire,Electivire,NULL,4,Electabuzz,Electric,NULL,540,75,123,67,95,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/electivire.png,Permitted,3
874,Stonjourner,Stonjourner,NULL,8,NULL,Rock,NULL,470,100,125,135,20,20,70,https://img.pokemondb.net/sprites/sword-shield/icon/stonjourner.png,Permitted,3
464,Rhyperior,Rhyperior,NULL,4,Rhydon,Ground,Rock,535,115,140,130,55,55,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhyperior.png,Permitted,9
625,Bisharp,Bisharp,NULL,5,Pawniard,Dark,Steel,490,65,125,100,60,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/bisharp.png,Permitted,10
842,Appletun,Appletun,NULL,8,Applin,Grass,Dragon,485,110,85,80,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/appletun.png,Permitted,4
36,Clefable,Clefable,NULL,1,Clefairy,Fairy,NULL,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,Permitted,7
834,Drednaw,Drednaw,NULL,8,Chewtle,Water,Rock,485,90,115,90,48,68,74,https://img.pokemondb.net/sprites/sword-shield/icon/drednaw.png,Permitted,4
709,Trevenant,Trevenant,NULL,6,Phantump,Ghost,Grass,474,85,110,76,65,82,56,https://img.pokemondb.net/sprites/sword-shield/icon/trevenant.png,Permitted,2
884,Duraludon,Duraludon,NULL,8,NULL,Steel,Dragon,535,70,95,115,120,50,85,https://img.pokemondb.net/sprites/sword-shield/icon/duraludon.png,Permitted,8
806,Blacephalon,Blacephalon,NULL,7,NULL,Fire,Ghost,570,53,127,53,151,79,107,https://img.pokemondb.net/sprites/sword-shield/icon/blacephalon.png,Permitted,9
141,Kabutops,Kabutops,NULL,1,Kabuto,Rock,Water,495,60,115,105,65,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/kabutops.png,Permitted,4
142,Aerodactyl,Aerodactyl,NULL,1,NULL,Rock,Flying,515,80,105,65,60,75,130,https://img.pokemondb.net/sprites/sword-shield/icon/aerodactyl.png,Permitted,5
560,Scrafty,Scrafty,NULL,5,Scraggy,Dark,Fighting,488,65,90,115,45,115,58,https://img.pokemondb.net/sprites/sword-shield/icon/scrafty.png,Permitted,6
862,Obstagoon,Obstagoon,NULL,8,Linoone,Dark,Normal,520,93,90,101,60,81,95,https://img.pokemondb.net/sprites/sword-shield/icon/obstagoon.png,Permitted,6
346,Cradily,Cradily,NULL,3,Lileep,Rock,Grass,495,86,81,97,81,107,43,https://img.pokemondb.net/sprites/sword-shield/icon/cradily.png,Permitted,11
555,Darmanitan Standard Mode,Darmanitan,Standard Mode,5,Darumaka,Fire,NULL,480,105,140,55,30,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/darmanitan-standard.png,Permitted,3
149,Dragonite,Dragonite,NULL,1,Dragonair,Dragon,Flying,600,91,134,95,100,100,80,https://img.pokemondb.net/sprites/sword-shield/icon/dragonite.png,Permitted,10
103,Alolan Exeggutor,Exeggutor,Alolan,7,Exeggcute,Grass,Dragon,530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,Permitted,6
754,Lurantis,Lurantis,NULL,7,Fomantis,Grass,NULL,480,70,105,90,80,90,45,https://img.pokemondb.net/sprites/sword-shield/icon/lurantis.png,Permitted,4
630,Mandibuzz,Mandibuzz,NULL,5,Vullaby,Dark,Flying,510,110,65,105,55,95,80,https://img.pokemondb.net/sprites/sword-shield/icon/mandibuzz.png,Permitted,3
593,Jellicent,Jellicent,NULL,5,Frillish,Water,Ghost,480,100,60,70,85,105,60,https://img.pokemondb.net/sprites/sword-shield/icon/jellicent.png,Permitted,6
526,Gigalith,Gigalith,NULL,5,Boldore,Rock,NULL,515,85,135,130,60,80,25,https://img.pokemondb.net/sprites/sword-shield/icon/gigalith.png,Permitted,4
478,Froslass,Froslass,NULL,4,Snorunt,Ice,Ghost,480,70,80,70,80,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/froslass.png,Permitted,4
707,Klefki,Klefki,NULL,6,NULL,Steel,Fairy,470,57,80,91,80,87,75,https://img.pokemondb.net/sprites/sword-shield/icon/klefki.png,Permitted,5
334,Altaria,Altaria,NULL,3,Swablu,Dragon,Flying,490,75,70,90,70,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png,Permitted,3
103,Exeggutor,Exeggutor,NULL,1,Exeggcute,Grass,Psychic,530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,Permitted,3
421,Cherrim,Cherrim,NULL,4,Cherubi,Grass,NULL,450,70,60,70,87,78,85,https://img.pokemondb.net/sprites/sword-shield/icon/cherrim.png,Permitted,8
750,Mudsdale,Mudsdale,NULL,7,Mudbray,Ground,NULL,500,100,125,100,55,85,35,https://img.pokemondb.net/sprites/sword-shield/icon/mudsdale.png,Permitted,6
448,Lucario,Lucario,NULL,4,Riolu,Fighting,Steel,525,70,110,70,115,70,90,https://img.pokemondb.net/sprites/sword-shield/icon/lucario.png,Permitted,9
12,Butterfree,Butterfree,NULL,1,Metapod,Bug,Flying,395,60,45,50,90,80,70,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,Permitted,16
474,Porygon-Z,Porygon-Z,NULL,4,Porygon2,Normal,NULL,535,85,80,70,135,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/porygon-z.png,Permitted,7
820,Greedent,Greedent,NULL,8,Skwovet,Normal,NULL,460,120,95,95,55,75,20,https://img.pokemondb.net/sprites/sword-shield/icon/greedent.png,Permitted,1
851,Centiskorch,Centiskorch,NULL,8,Sizzlipede,Fire,Bug,525,100,115,65,90,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/centiskorch.png,Permitted,12
681,Aegislash Shield Forme,Aegislash,Shield Forme,6,Doublade,Steel,Ghost,500,60,50,140,50,140,60,https://img.pokemondb.net/sprites/sword-shield/icon/aegislash-shield.png,Permitted,10
871,Pincurchin,Pincurchin,NULL,8,NULL,Electric,NULL,435,48,101,95,91,85,15,https://img.pokemondb.net/sprites/sword-shield/icon/pincurchin.png,Permitted,9
254,Sceptile,Sceptile,NULL,3,Grovyle,Grass,NULL,530,70,85,65,105,85,120,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png,Permitted,5
880,Dracozolt,Dracozolt,NULL,8,NULL,Electric,Dragon,505,90,100,90,80,70,75,https://img.pokemondb.net/sprites/sword-shield/icon/dracozolt.png,Permitted,8
454,Toxicroak,Toxicroak,NULL,4,Croagunk,Poison,Fighting,490,83,106,65,86,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/toxicroak.png,Permitted,2
609,Chandelure,Chandelure,NULL,5,Lampent,Ghost,Fire,520,60,55,90,145,90,80,https://img.pokemondb.net/sprites/sword-shield/icon/chandelure.png,Permitted,9
275,Shiftry,Shiftry,NULL,3,Nuzleaf,Grass,Dark,480,90,100,60,90,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png,Permitted,3
730,Primarina,Primarina,NULL,7,Brionne,Water,Fairy,530,80,74,74,126,116,60,https://img.pokemondb.net/sprites/sword-shield/icon/primarina.png,Permitted,11
530,Excadrill,Excadrill,NULL,5,Drilbur,Ground,Steel,508,110,135,60,50,65,88,https://img.pokemondb.net/sprites/sword-shield/icon/excadrill.png,Permitted,10
426,Drifblim,Drifblim,NULL,4,Drifloon,Ghost,Flying,498,150,80,44,90,54,80,https://img.pokemondb.net/sprites/sword-shield/icon/drifblim.png,Permitted,3
553,Krookodile,Krookodile,NULL,5,Krokorok,Ground,Dark,519,95,117,80,65,70,92,https://img.pokemondb.net/sprites/sword-shield/icon/krookodile.png,Permitted,11
115,Kangaskhan,Kangaskhan,NULL,1,NULL,Normal,NULL,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,Permitted,6
695,Heliolisk,Heliolisk,NULL,6,Helioptile,Electric,Normal,481,62,55,52,109,94,109,https://img.pokemondb.net/sprites/sword-shield/icon/heliolisk.png,Permitted,8
445,Garchomp,Garchomp,NULL,4,Gabite,Dragon,Ground,600,108,130,95,80,85,102,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp.png,Permitted,15
130,Gyarados,Gyarados,NULL,1,Magikarp,Water,Flying,540,95,125,79,60,100,81,https://img.pokemondb.net/sprites/sword-shield/icon/gyarados.png,Permitted,15
777,Togedemaru,Togedemaru,NULL,7,NULL,Electric,Steel,435,65,98,63,40,73,96,https://img.pokemondb.net/sprites/sword-shield/icon/togedemaru.png,Permitted,7
793,Nihilego,Nihilego,NULL,7,NULL,Rock,Poison,570,109,53,47,127,131,103,https://img.pokemondb.net/sprites/sword-shield/icon/nihilego.png,Permitted,7
765,Oranguru,Oranguru,NULL,7,NULL,Normal,Psychic,490,90,60,80,90,110,60,https://img.pokemondb.net/sprites/sword-shield/icon/oranguru.png,Permitted,17
99,Kingler,Kingler,NULL,1,Krabby,Water,NULL,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,Permitted,9
110,Galarian Weezing,Weezing,Galarian,8,Koffing,Poison,Fairy,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,Permitted,8
279,Pelipper,Pelipper,NULL,3,Wingull,Water,Flying,440,60,50,100,95,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png,Permitted,8
748,Toxapex,Toxapex,NULL,7,Mareanie,Poison,Water,495,50,63,152,53,142,35,https://img.pokemondb.net/sprites/sword-shield/icon/toxapex.png,Permitted,5
80,Slowbro,Slowbro,NULL,1,Slowpoke,Water,Psychic,490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,Permitted,4
105,Alolan Marowak,Marowak,Alolan,7,Cubone,Fire,Ghost,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,Permitted,16
38,Alolan Ninetales,Ninetales,Alolan,7,Vulpix,Ice,Fairy,505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,Permitted,16
25,Pikachu,Pikachu,NULL,1,Pichu,Electric,NULL,320,35,55,40,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,Permitted,13
248,Tyranitar,Tyranitar,NULL,2,Pupitar,Rock,Dark,600,100,134,110,95,100,61,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png,Permitted,24
212,Scizor,Scizor,NULL,2,Scyther,Bug,Steel,500,70,130,100,55,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,Permitted,7
184,Azumarill,Azumarill,NULL,2,Marill,Water,Fairy,420,100,50,80,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,Permitted,9
260,Swampert,Swampert,NULL,3,Marshtomp,Water,Ground,535,100,110,90,85,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png,Permitted,7
199,Slowking,Slowking,NULL,2,Slowpoke,Water,Psychic,490,95,75,80,100,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,Permitted,2
272,Ludicolo,Ludicolo,NULL,3,Lombre,Water,Grass,480,80,70,70,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png,Permitted,16
186,Politoed,Politoed,NULL,2,Poliwhirl,Water,NULL,500,90,75,75,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,Permitted,7
479,Wash Rotom,Rotom,Wash,4,NULL,Electric,Water,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-wash.png,Permitted,16
589,Escavalier,Escavalier,NULL,5,Karrablast,Bug,Steel,495,70,135,105,60,105,20,https://img.pokemondb.net/sprites/sword-shield/icon/escavalier.png,Permitted,9
215,Sneasel,Sneasel,NULL,2,NULL,Dark,Ice,430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,Permitted,3
858,Hatterene,Hatterene,NULL,8,Hattrem,Psychic,Fairy,510,57,90,95,136,103,29,https://img.pokemondb.net/sprites/sword-shield/icon/hatterene.png,Permitted,22
373,Salamence,Salamence,NULL,3,Shelgon,Dragon,Flying,600,95,135,80,110,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/salamence.png,Permitted,8
818,Inteleon,Inteleon,NULL,8,Drizzile,Water,NULL,530,70,85,65,125,65,120,https://img.pokemondb.net/sprites/sword-shield/icon/inteleon.png,Permitted,11
601,Klinklang,Klinklang,NULL,5,Klang,Steel,NULL,520,60,100,115,70,85,90,https://img.pokemondb.net/sprites/sword-shield/icon/klinklang.png,Permitted,884
350,Milotic,Milotic,NULL,3,Feebas,Water,NULL,540,95,60,79,100,125,81,https://img.pokemondb.net/sprites/sword-shield/icon/milotic.png,Permitted,30
663,Talonflame,Talonflame,NULL,6,Fletchinder,Fire,Flying,499,78,81,71,74,69,126,https://img.pokemondb.net/sprites/sword-shield/icon/talonflame.png,Permitted,22
805,Stakataka,Stakataka,NULL,7,NULL,Rock,Steel,570,61,131,211,53,101,13,https://img.pokemondb.net/sprites/sword-shield/icon/stakataka.png,Permitted,23
143,Snorlax,Snorlax,NULL,1,Munchlax,Normal,NULL,540,160,110,65,65,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/snorlax.png,Permitted,18
53,Alolan Persian,Persian,Alolan,7,Meowth,Dark,NULL,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,Permitted,19
678,Meowstic Male,Meowstic,Male,6,Espurr,Psychic,NULL,466,74,48,76,83,81,104,https://img.pokemondb.net/sprites/sword-shield/icon/meowstic-male.png,Permitted,15
637,Volcarona,Volcarona,NULL,5,Larvesta,Bug,Fire,550,85,60,65,135,105,100,https://img.pokemondb.net/sprites/sword-shield/icon/volcarona.png,Permitted,28
213,Shuckle,Shuckle,NULL,2,NULL,Bug,Rock,505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png,Permitted,7
555,Darmanitan Galarian Standard Mode,Darmanitan,Galarian Standard Mode,8,Darumaka,Ice,NULL,480,105,140,55,30,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/darmanitan-galarian-standard.png,Permitted,15
237,Hitmontop,Hitmontop,NULL,2,Tyrogue,Fighting,NULL,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png,Permitted,27
882,Dracovish,Dracovish,NULL,8,NULL,Water,Dragon,505,90,90,100,70,80,75,https://img.pokemondb.net/sprites/sword-shield/icon/dracovish.png,Permitted,32
763,Tsareena,Tsareena,NULL,7,Steenee,Grass,NULL,510,72,120,98,50,98,72,https://img.pokemondb.net/sprites/sword-shield/icon/tsareena.png,Permitted,26
461,Weavile,Weavile,NULL,4,Sneasel,Dark,Ice,510,70,120,65,45,85,125,https://img.pokemondb.net/sprites/sword-shield/icon/weavile.png,Permitted,14
635,Hydreigon,Hydreigon,NULL,5,Zweilous,Dark,Dragon,600,92,105,90,125,90,98,https://img.pokemondb.net/sprites/sword-shield/icon/hydreigon.png,Permitted,13
510,Liepard,Liepard,NULL,5,Purrloin,Dark,NULL,446,64,88,50,88,50,106,https://img.pokemondb.net/sprites/sword-shield/icon/liepard.png,Permitted,16
869,Alcremie,Alcremie,NULL,8,Milcery,Fairy,NULL,495,65,60,75,110,121,64,https://img.pokemondb.net/sprites/sword-shield/icon/alcremie.png,Permitted,18
113,Chansey,Chansey,NULL,1,Happiny,Normal,NULL,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,Permitted,6
620,Mienshao,Mienshao,NULL,5,Mienfoo,Fighting,NULL,510,65,125,60,95,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/mienshao.png,Permitted,18
35,Clefairy,Clefairy,NULL,1,Cleffa,Fairy,NULL,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,Permitted,25
59,Arcanine,Arcanine,NULL,1,Growlithe,Fire,NULL,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,Permitted,23
795,Pheromosa,Pheromosa,NULL,7,NULL,Bug,Fighting,570,71,137,37,137,37,151,https://img.pokemondb.net/sprites/sword-shield/icon/pheromosa.png,Permitted,29
752,Araquanid,Araquanid,NULL,7,Dewpider,Water,Bug,454,68,70,92,50,132,42,https://img.pokemondb.net/sprites/sword-shield/icon/araquanid.png,Permitted,15
376,Metagross,Metagross,NULL,3,Metang,Steel,Psychic,600,80,135,130,95,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/metagross.png,Permitted,27
797,Celesteela,Celesteela,NULL,7,NULL,Steel,Flying,570,97,101,103,107,101,61,https://img.pokemondb.net/sprites/sword-shield/icon/celesteela.png,Permitted,26
847,Barraskewda,Barraskewda,NULL,8,Arrokuda,Water,NULL,490,61,123,60,60,50,136,https://img.pokemondb.net/sprites/sword-shield/icon/barraskewda.png,Permitted,37
473,Mamoswine,Mamoswine,NULL,4,Piloswine,Ice,Ground,530,110,130,80,70,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/mamoswine.png,Permitted,16
131,Lapras,Lapras,NULL,1,NULL,Water,Ice,535,130,85,80,85,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/lapras.png,Permitted,61
764,Comfey,Comfey,NULL,7,NULL,Fairy,NULL,485,51,52,90,82,110,100,https://img.pokemondb.net/sprites/sword-shield/icon/comfey.png,Permitted,54
876,Indeedee Male,Indeedee,Male,8,NULL,Psychic,Normal,475,60,65,55,105,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/indeedee-male.png,Permitted,26
